POA_CODE_2016,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
POA4102,145,198,343,237,217,455,0,0,0,26,41,65,0,0,0,596,622,1216,0,8,4,161,146,306,10,8,15,13,12,26,22,43,63,0,4,3,19,11,28,21,23,50,59,66,130,0,0,0,12,7,19,60,58,121,51,74,126,4,0,4,1299,1332,2631,103,82,187,83,62,154,0,3,8,0,0,0,19,14,26,19,18,37,38,27,67,1717,1464,3187,28,18,48,18,11,29,1765,1499,3258,580,432,1015,4016,3641,7660
POA4103,168,269,441,508,564,1073,0,0,0,85,116,200,0,0,3,1164,1372,2532,0,5,4,201,224,420,21,24,45,24,30,55,40,37,75,21,16,33,21,22,42,56,83,134,107,96,197,6,8,16,13,22,29,135,184,315,133,184,315,12,11,20,2530,2981,5518,208,164,379,201,135,331,12,13,24,0,0,0,48,40,81,31,33,62,75,71,151,3091,2803,5892,60,54,111,16,31,45,3163,2880,6041,767,671,1435,7119,7193,14316
POA4104,36,70,103,340,438,770,0,0,0,28,41,68,0,0,0,726,850,1575,0,0,0,76,83,162,0,3,3,8,11,23,21,27,45,3,5,10,8,10,25,30,30,56,68,65,132,4,6,11,3,7,10,114,148,263,69,80,143,3,3,9,1500,1802,3304,40,44,87,35,33,73,3,12,13,0,0,0,15,18,33,14,22,33,31,41,70,1126,981,2108,19,16,33,5,9,19,1148,1006,2160,379,361,731,3181,3356,6535
POA4105,109,147,259,633,687,1313,4,4,4,85,111,189,0,0,0,1384,1575,2957,5,3,13,151,147,301,18,23,43,27,30,56,41,64,111,27,17,47,30,25,51,64,78,138,130,153,284,7,0,6,20,20,38,237,310,547,144,186,327,5,4,10,3008,3437,6446,130,98,226,201,165,361,17,8,23,0,0,0,70,55,126,23,28,50,93,84,176,2435,2126,4565,38,29,67,11,19,28,2485,2178,4659,602,567,1164,6637,6679,13321
POA4106,17,20,44,59,42,99,0,0,0,13,8,19,0,0,0,145,154,299,0,0,0,30,25,62,3,0,4,5,7,7,10,12,21,3,3,4,6,13,19,6,8,12,11,12,21,3,0,3,0,0,3,24,15,39,36,35,73,3,5,11,361,329,692,22,13,32,45,14,61,0,0,0,0,0,0,19,13,31,6,0,7,26,14,35,289,236,524,9,0,9,0,4,4,295,236,532,101,92,196,869,724,1595
POA4107,47,87,131,302,374,679,0,0,0,61,59,116,0,0,3,615,655,1267,4,4,8,32,34,73,14,16,28,4,10,9,12,19,31,6,4,10,16,19,37,48,80,127,67,96,162,0,7,7,4,6,6,94,144,244,124,121,244,11,7,23,1421,1659,3081,95,75,168,66,49,118,0,0,3,0,0,0,47,24,74,12,12,26,64,38,100,1111,965,2081,11,13,23,3,5,10,1130,981,2115,316,255,573,3143,3149,6290
POA4108,97,157,252,221,214,436,0,0,0,51,71,120,0,3,4,475,532,1012,19,20,39,43,36,80,4,4,6,10,5,8,17,26,43,6,6,13,80,67,143,82,88,173,67,63,130,3,7,5,20,25,45,87,96,184,90,114,202,6,4,13,1279,1386,2663,230,169,393,155,98,249,0,0,4,0,0,0,46,33,77,13,11,19,50,45,101,923,810,1736,13,4,13,3,3,5,934,817,1755,317,288,610,3064,2961,6028
POA4109,1334,1598,2931,1121,1244,2365,0,0,0,322,356,677,8,8,11,2637,3002,5642,15,22,36,401,441,843,40,47,92,72,86,162,69,121,194,42,37,79,195,214,414,273,301,576,410,473,881,11,12,30,85,93,180,675,863,1541,603,676,1284,18,25,47,7010,8032,15041,640,500,1141,713,543,1254,9,10,16,3,0,3,345,245,588,100,87,191,446,337,781,6850,6402,13250,46,26,73,32,20,54,6925,6453,13378,1555,1504,3061,18640,18973,37607
POA4110,183,238,420,489,500,988,0,0,0,106,99,204,0,0,0,1017,1140,2157,12,7,19,45,54,100,40,49,90,52,61,112,23,29,54,12,13,21,33,35,72,104,128,226,127,154,281,12,11,18,19,25,42,188,215,402,212,231,435,15,12,21,2493,2756,5245,216,208,425,407,368,778,6,9,10,0,0,0,67,50,115,25,30,52,87,80,167,1447,1225,2674,19,15,29,4,14,19,1471,1252,2723,584,562,1145,5449,5464,10918
POA4111,14,12,27,54,60,121,0,0,0,9,15,22,0,0,0,92,113,206,0,0,0,4,9,12,0,0,3,0,0,0,5,3,6,0,0,0,0,0,0,9,9,16,15,9,23,5,3,6,0,3,4,19,16,32,11,14,29,0,0,0,229,254,478,9,6,16,8,7,17,0,0,0,0,0,0,4,6,7,5,0,7,5,7,17,270,221,491,3,0,6,0,0,0,273,224,498,67,57,125,609,572,1183
POA4112,147,173,325,214,215,425,0,0,0,62,81,150,0,0,0,452,541,989,0,0,0,82,85,165,11,12,27,35,29,62,48,54,106,16,12,30,40,35,73,51,73,126,89,81,172,3,4,8,25,23,51,97,118,214,137,149,288,4,8,9,1367,1533,2896,138,118,256,998,1038,2035,0,0,3,0,0,0,157,124,289,17,15,29,175,140,317,866,825,1691,10,3,11,0,0,4,871,833,1709,310,263,573,4015,4096,8108
POA4113,800,969,1772,804,982,1788,0,0,0,357,404,761,19,21,35,1967,2261,4225,8,13,23,344,349,689,30,39,67,79,96,167,105,112,214,17,18,41,136,151,284,241,328,565,507,510,1017,6,9,20,80,94,173,481,543,1022,521,647,1171,36,37,75,5726,6619,12342,601,508,1113,768,720,1490,9,4,16,0,0,0,802,578,1375,77,84,160,875,658,1537,4980,4452,9429,32,18,50,22,12,36,5032,4488,9519,1118,1014,2135,14930,14979,29913
POA4114,269,307,581,1395,1487,2885,0,3,5,671,651,1322,0,3,3,1989,2220,4207,10,22,26,134,116,253,89,128,217,237,319,562,72,86,157,50,35,89,198,209,400,339,401,735,365,386,751,24,42,69,290,305,601,477,527,998,709,762,1466,31,58,84,7083,7757,14843,225,185,414,1578,1146,2722,0,0,0,0,4,6,90,65,154,43,87,127,134,157,290,3591,3106,6699,34,29,57,29,43,77,3656,3177,6832,1724,1652,3379,14684,14377,29064
POA4115,329,377,702,1074,1193,2261,0,0,0,212,220,430,3,0,7,2001,2166,4166,13,15,26,106,123,230,27,53,76,82,113,193,71,96,162,33,41,73,77,86,164,166,172,342,240,275,515,22,19,43,24,27,54,304,407,712,279,320,600,30,33,61,4770,5342,10112,300,283,581,292,275,574,4,6,7,0,0,0,187,135,321,16,32,47,209,160,367,3003,2626,5624,33,15,43,5,12,19,3042,2654,5695,646,622,1270,9588,9722,19308
POA4116,742,958,1698,736,855,1595,0,0,0,245,252,499,0,0,0,1878,2157,4039,8,10,20,259,289,544,25,36,69,85,95,185,50,81,131,89,106,193,116,154,269,240,248,491,301,289,583,12,23,40,55,74,131,308,392,706,447,527,977,32,30,64,4897,5613,10514,649,658,1304,748,740,1487,4,3,9,0,0,0,290,261,547,58,51,109,345,312,662,4251,3969,8224,25,12,33,7,17,29,4287,3994,8277,993,985,1981,12663,13269,25936
POA4117,15,23,37,54,60,111,0,0,0,3,10,10,0,0,0,106,120,232,0,0,0,10,12,14,3,3,7,5,7,16,7,5,8,4,5,9,9,10,20,22,27,47,23,21,43,0,0,0,4,5,10,17,19,33,25,33,57,9,8,15,288,342,634,28,26,61,58,58,119,0,0,0,0,0,0,16,20,34,0,3,4,16,19,41,197,144,339,6,6,11,0,0,0,200,150,349,63,60,126,678,689,1365
POA4118,278,307,584,1884,2068,3948,0,0,0,279,320,603,7,0,6,3059,3193,6260,27,25,46,213,190,401,100,123,225,160,187,348,113,146,258,14,10,24,128,160,288,310,335,643,379,443,824,22,32,56,92,110,201,479,623,1098,610,650,1261,29,42,66,7898,8655,16549,219,215,434,342,333,680,15,7,22,0,0,0,108,98,211,84,110,191,192,213,407,4723,4197,8923,49,41,92,22,28,48,4793,4264,9059,1374,1292,2664,15107,15292,30400
POA4119,101,110,214,206,263,466,0,0,0,62,67,130,0,0,0,458,508,959,0,6,6,33,59,95,18,20,31,20,28,44,37,52,87,0,8,10,22,34,53,68,109,176,100,111,209,5,4,6,22,23,50,95,115,204,123,117,242,14,15,31,1288,1515,2802,88,83,172,428,411,838,4,3,5,0,0,0,129,96,228,12,9,19,141,108,241,835,709,1544,3,3,6,5,0,3,842,710,1553,257,262,515,3142,3203,6341
POA4120,93,115,207,331,414,749,0,0,0,64,75,136,0,0,0,895,1081,1976,0,0,0,100,84,184,13,20,30,13,6,20,25,28,51,9,11,18,11,11,24,48,44,89,76,58,141,5,4,9,8,6,18,95,135,231,82,95,182,6,6,9,1780,2083,3862,209,156,359,85,73,157,22,13,37,0,0,0,91,77,172,21,11,34,113,93,200,1636,1499,3132,35,30,60,10,7,15,1679,1536,3212,485,410,894,4464,4469,8936
POA4121,131,224,348,1377,1572,2952,0,0,0,180,213,386,6,4,7,3199,3594,6788,13,15,33,344,354,696,25,41,69,35,44,79,91,124,219,3,6,3,33,57,86,127,147,277,257,287,543,15,15,27,33,24,57,490,639,1134,257,311,566,15,25,36,6499,7466,13970,154,144,300,184,194,382,20,18,37,0,0,0,54,48,104,33,31,59,90,76,166,4022,3796,7814,56,49,105,21,29,50,4100,3867,7969,1073,1023,2096,12248,13014,25264
POA4122,539,707,1246,1964,2323,4287,0,0,0,535,625,1160,4,6,11,4411,5259,9673,21,28,52,690,729,1418,65,88,151,94,108,199,156,210,368,27,25,53,146,152,294,533,657,1190,500,628,1126,55,67,114,158,187,349,768,1126,1897,687,800,1488,21,24,48,10831,13040,23874,569,511,1072,634,619,1254,22,21,44,5,3,4,212,184,397,71,102,169,282,291,575,6307,5833,12143,86,50,140,37,41,73,6431,5920,12353,1688,1737,3427,21000,22850,43850
POA4123,190,243,432,1039,1129,2165,0,0,0,311,361,673,0,0,3,1627,1853,3481,21,36,62,142,130,276,37,45,80,160,182,344,143,166,308,10,10,22,52,55,111,271,309,575,266,309,574,25,19,40,68,72,145,384,520,904,408,467,878,15,23,36,4981,5688,10670,130,130,259,140,118,259,15,20,32,0,0,0,104,82,186,26,37,57,129,118,245,2765,2456,5215,19,15,30,14,18,31,2794,2485,5279,672,655,1321,9042,9447,18491
POA4124,133,182,307,1494,1725,3224,0,0,0,200,217,410,0,3,3,1906,2080,3987,8,9,22,49,70,121,39,57,99,61,77,133,104,97,204,3,3,12,40,61,98,138,154,290,258,316,575,12,32,42,42,50,94,383,452,836,342,380,723,23,28,48,5108,5799,10910,61,58,125,98,95,191,6,5,12,0,0,0,34,32,63,72,100,175,104,135,235,3301,2924,6220,35,25,57,15,20,33,3350,2964,6313,838,736,1573,9696,9972,19672
POA4125,72,87,154,679,825,1507,0,0,0,69,76,141,0,0,3,727,738,1466,0,9,10,23,24,41,34,47,78,14,15,25,37,39,79,0,0,0,40,36,78,71,78,150,143,137,274,3,11,13,21,24,43,157,195,349,96,108,204,6,4,7,2109,2363,4470,15,7,23,16,22,36,5,0,4,0,0,0,6,12,13,19,21,41,28,29,61,942,813,1757,18,11,22,7,12,18,971,834,1803,304,285,584,3516,3620,7142
POA4127,206,322,528,1526,1789,3312,0,0,0,317,314,632,3,3,11,2349,2585,4940,16,21,41,128,131,259,63,117,179,133,134,266,119,137,258,7,3,12,92,89,185,398,436,834,343,403,747,30,35,59,141,182,320,514,655,1164,568,696,1260,32,24,54,6771,7757,14531,180,165,352,441,420,864,15,10,26,0,0,0,95,71,169,41,48,93,143,116,257,3893,3368,7262,53,44,94,18,23,46,3970,3428,7396,1253,1166,2428,12977,13397,26373
POA4128,87,121,215,1182,1223,2399,0,0,0,179,202,380,4,3,9,1623,1810,3433,12,16,26,93,83,170,46,62,111,46,44,85,89,105,192,0,0,0,40,58,98,247,273,524,231,280,511,23,21,47,36,51,90,346,434,782,326,366,697,37,38,69,4572,5056,9626,71,64,132,121,97,218,8,3,10,0,0,0,19,15,36,18,32,49,37,46,83,2597,2150,4745,35,20,56,8,19,25,2642,2191,4830,714,674,1390,8246,8258,16506
POA4129,37,57,95,491,510,1005,0,0,0,66,56,122,0,0,0,572,576,1144,3,4,5,32,23,53,14,22,40,20,20,43,21,18,39,0,0,0,12,21,34,85,103,192,56,79,141,8,4,18,11,12,21,145,161,304,136,143,275,5,17,21,1685,1767,3455,17,21,40,23,27,44,0,0,0,0,0,0,3,3,8,8,14,23,13,22,35,1091,1044,2138,16,8,28,0,12,14,1111,1071,2182,248,207,456,3137,3163,6303
POA4130,23,45,72,692,782,1473,0,0,0,79,98,174,0,0,0,937,1026,1961,0,0,0,51,48,102,20,27,48,17,19,38,51,62,111,3,3,3,24,32,54,113,127,236,125,141,265,3,10,11,24,33,56,241,264,502,187,215,399,19,15,29,2585,2885,5473,30,21,49,19,22,35,5,0,4,0,0,0,12,17,28,7,15,28,21,30,56,1176,998,2174,13,12,22,11,10,19,1193,1021,2217,326,300,626,4200,4334,8532
POA4131,91,113,203,540,596,1140,10,9,19,135,140,279,0,0,0,809,926,1732,4,4,5,34,44,77,31,46,80,65,48,114,47,69,111,5,0,5,31,40,73,121,144,267,129,151,272,23,19,37,41,49,88,143,170,308,226,230,455,19,23,40,2401,2712,5119,67,54,121,221,217,437,0,3,3,4,3,10,85,46,128,25,17,39,113,71,178,1663,1383,3041,11,13,22,4,15,18,1681,1406,3089,648,644,1289,5215,5219,10439
POA4132,277,332,605,1236,1398,2633,0,0,0,282,281,565,4,4,4,2009,2404,4410,11,15,28,75,82,161,101,109,219,304,304,603,47,90,135,3,3,7,116,127,238,342,373,711,271,314,581,24,28,49,134,159,289,372,429,798,586,638,1219,43,53,100,5963,6809,12770,100,107,205,567,602,1168,3,3,4,0,0,0,11,10,20,89,111,201,101,123,223,4096,3570,7669,27,31,59,13,25,36,4134,3621,7759,1771,1715,3485,12908,13308,26215
POA4133,186,219,407,1162,1454,2615,0,0,0,182,213,392,4,0,8,1449,1662,3110,3,8,13,78,61,143,67,74,145,139,171,311,104,113,217,0,0,0,78,75,149,196,218,412,216,266,478,15,23,38,80,107,183,267,360,625,322,396,719,29,29,56,4389,5238,9624,106,90,198,210,204,410,8,3,8,0,0,0,31,22,56,43,50,94,74,73,152,2670,2360,5029,30,27,59,12,16,22,2705,2403,5113,912,949,1860,8590,9181,17769
POA4151,129,150,281,851,971,1821,0,0,0,83,89,170,8,7,15,2153,2502,4660,8,5,13,184,177,360,26,33,56,13,10,28,58,57,114,9,9,20,23,20,43,70,79,147,133,176,314,3,12,11,3,13,10,221,324,542,116,145,255,8,9,14,3954,4638,8590,301,268,570,106,67,175,14,7,23,0,0,0,89,69,159,21,27,53,110,101,215,2547,2308,4848,48,18,66,4,18,24,2599,2344,4941,739,758,1495,7948,8331,16282
POA4152,329,440,768,2519,2986,5506,0,0,0,310,359,664,57,80,134,5863,6825,12690,23,33,55,747,749,1495,72,93,167,52,48,100,156,158,314,20,11,26,69,75,143,420,471,892,616,713,1331,46,69,116,46,39,88,745,1116,1859,533,662,1192,26,32,60,12321,14521,26842,413,377,791,239,229,465,26,35,60,0,0,0,100,88,191,49,76,126,149,167,323,6226,5735,11956,80,57,135,25,48,76,6330,5835,12173,1649,1616,3265,21452,23228,44684
POA4153,36,46,81,273,302,577,0,0,0,39,58,98,9,10,23,633,637,1269,0,0,0,74,76,154,8,7,17,4,7,9,11,17,32,0,0,0,10,11,19,46,52,98,62,63,128,8,3,11,0,0,3,82,139,221,76,74,154,5,0,8,1345,1467,2810,39,48,89,24,11,39,7,3,9,0,0,0,4,6,11,4,6,9,5,12,21,539,477,1007,8,3,12,4,7,4,546,486,1028,163,139,301,2167,2208,4374
POA4154,45,65,102,803,894,1692,0,0,0,116,136,249,52,41,90,1385,1436,2816,0,3,4,115,108,221,26,27,55,11,9,17,33,38,71,0,0,5,23,34,58,91,90,178,158,149,314,10,14,27,27,19,46,258,294,555,160,182,342,8,12,14,3268,3487,6754,90,98,194,42,58,100,4,3,7,0,0,0,20,17,36,13,13,29,35,32,64,1580,1378,2963,15,10,27,3,10,14,1600,1399,3005,397,345,743,5475,5496,10974
POA4155,3,12,11,112,121,229,0,0,0,9,13,20,0,0,0,177,194,373,0,3,3,36,25,64,0,7,10,4,0,4,13,20,29,0,0,0,0,0,0,4,4,12,20,17,40,0,0,5,3,4,8,40,51,92,36,30,65,0,0,3,455,489,947,3,5,12,13,13,21,0,0,0,0,0,0,10,11,22,0,0,0,10,13,25,146,129,276,4,0,4,0,0,0,157,129,286,72,60,132,725,720,1442
POA4156,56,48,106,182,211,393,0,0,0,67,68,139,3,3,3,379,374,755,3,10,11,23,28,59,4,4,8,4,6,15,29,21,49,4,0,8,15,24,41,53,64,113,44,44,86,3,6,10,13,20,29,75,102,179,73,66,137,3,4,5,982,1052,2037,23,31,58,19,28,50,4,9,10,0,0,0,5,7,13,7,8,9,8,7,18,347,326,669,0,4,6,3,9,5,350,336,680,100,87,185,1549,1596,3146
POA4157,64,101,166,1389,1686,3079,0,3,4,252,284,538,10,14,23,2042,2200,4239,21,23,37,86,97,189,56,77,131,47,49,94,82,108,192,9,0,6,35,29,61,136,143,275,316,337,650,25,33,58,29,33,62,502,607,1104,258,255,507,33,39,67,5315,6014,11329,96,83,177,42,51,92,10,12,21,4,0,3,46,36,76,21,37,62,72,78,150,3163,2571,5740,37,20,55,9,17,29,3210,2610,5821,673,603,1282,9482,9554,19035
POA4158,6,20,26,313,351,666,0,0,0,49,44,100,3,3,7,361,366,729,0,0,0,13,8,19,13,8,17,11,10,18,7,19,22,3,0,3,8,9,11,22,23,44,48,53,98,3,10,18,0,3,3,107,143,253,47,54,104,9,5,13,1006,1123,2128,10,4,16,4,3,6,9,3,9,0,0,0,0,7,11,10,8,21,10,16,25,650,591,1243,3,10,11,6,5,6,660,603,1260,151,137,288,1857,1908,3761
POA4159,53,87,145,1243,1358,2601,0,0,0,219,234,454,7,10,23,1542,1689,3235,13,7,21,58,76,133,19,21,38,13,9,25,43,82,130,0,0,0,40,42,79,69,84,155,253,272,528,27,30,56,18,12,24,386,506,901,200,229,432,26,23,45,4176,4704,8886,27,39,67,10,8,18,3,3,10,0,0,0,15,22,42,14,29,40,34,53,84,2213,1834,4049,21,15,39,4,8,12,2234,1861,4100,573,623,1195,7116,7387,14497
POA4160,60,115,177,1491,1754,3244,0,0,0,266,286,559,0,3,4,1959,2118,4080,25,29,53,78,73,152,31,45,83,31,33,69,62,75,139,0,0,0,46,54,104,94,121,211,340,352,691,15,32,45,19,22,39,519,651,1170,290,334,618,26,35,58,5310,6010,11323,28,26,51,18,12,25,7,8,10,0,0,0,16,22,36,28,43,66,41,59,105,2723,2456,5181,29,12,44,20,24,39,2771,2491,5262,630,555,1187,8866,9277,18139
POA4161,49,71,122,1217,1483,2695,0,0,0,183,224,405,3,3,6,1598,1833,3428,15,15,24,50,43,90,53,51,105,39,36,76,66,72,143,0,0,0,27,42,74,95,125,219,266,265,529,45,34,74,14,17,22,443,523,962,202,238,439,28,18,51,4334,5026,9360,40,40,80,25,26,52,3,0,4,0,0,0,19,16,29,27,39,70,41,54,99,2836,2441,5276,31,22,56,19,25,50,2887,2492,5373,590,570,1163,7974,8282,16254
POA4163,77,112,183,1280,1554,2837,0,0,0,164,214,378,3,0,4,1359,1609,2972,6,8,11,59,65,122,25,41,61,55,49,102,73,106,180,3,3,6,39,47,88,72,93,164,246,266,515,21,40,54,20,23,40,356,550,906,206,210,413,19,27,52,3992,4918,8902,32,31,64,28,23,52,8,4,8,0,0,0,6,9,14,14,24,37,23,36,56,2206,1959,4163,27,18,50,10,10,28,2245,1995,4237,620,666,1288,7016,7783,14801
POA4164,51,73,122,1307,1470,2777,0,0,0,189,220,403,0,3,4,1571,1778,3351,17,10,22,48,65,115,25,39,64,65,69,136,90,117,209,7,0,12,41,45,85,105,123,222,234,263,494,10,14,29,19,22,41,385,477,862,218,251,467,20,22,41,4346,4988,9340,30,26,56,27,25,55,8,12,14,0,0,0,21,21,42,12,19,30,28,40,67,2174,1851,4030,29,23,55,10,16,17,2214,1887,4099,487,452,940,7191,7505,14694
POA4165,98,136,240,3118,3714,6825,0,0,0,536,608,1142,3,0,7,3564,3936,7504,20,27,46,94,111,214,89,90,178,93,108,202,274,308,585,0,0,0,72,74,151,251,255,512,527,602,1131,21,34,54,53,92,145,1110,1330,2438,497,548,1048,44,52,97,10367,11897,22261,50,53,106,48,45,95,6,7,15,4,5,8,30,21,51,32,53,79,63,76,139,5789,5209,11000,63,65,130,11,26,37,5871,5303,11174,1443,1349,2796,17944,18867,36815
POA4169,126,187,314,778,716,1494,0,0,0,53,61,115,0,0,3,1507,1660,3163,0,3,3,113,126,246,4,15,17,24,22,48,35,54,83,3,3,9,20,24,49,53,66,124,95,134,229,7,3,4,19,12,23,164,190,351,125,123,246,4,9,8,3004,3217,6218,176,119,294,116,100,219,11,17,33,0,0,0,21,19,47,24,23,49,45,47,90,2779,2205,4989,41,40,80,10,26,34,2834,2273,5104,911,804,1713,7222,6766,13995
POA4170,145,240,387,1447,1537,2983,0,0,0,100,108,206,11,15,33,2960,3467,6428,3,5,11,135,143,276,24,27,48,37,45,88,58,87,144,6,15,20,34,32,67,70,103,176,241,247,486,6,8,17,21,31,52,364,479,845,182,252,431,21,20,40,5738,6622,12358,188,146,333,62,68,133,14,11,26,0,0,0,87,59,149,39,51,94,123,112,240,4407,4075,8477,67,58,129,18,30,45,4494,4163,8653,1202,1182,2392,11965,12550,24514
POA4171,49,97,147,1141,1276,2413,0,0,0,77,69,141,10,15,28,1964,2255,4217,0,3,3,100,125,221,9,11,22,6,7,18,36,48,85,0,0,0,19,20,39,39,59,94,150,184,336,9,6,17,9,16,23,251,370,627,107,131,239,8,13,21,3938,4606,8539,40,35,76,44,43,85,16,8,23,0,0,0,9,9,16,18,15,37,30,26,58,2685,2478,5162,39,22,67,10,21,30,2732,2525,5252,796,747,1543,7639,8084,15721
POA4172,35,60,98,258,263,526,0,0,0,19,24,47,11,18,29,528,562,1094,4,6,6,23,23,42,0,3,3,9,15,25,14,21,35,0,0,0,3,6,13,19,30,53,46,57,101,0,0,7,6,4,10,63,78,143,46,33,84,9,0,8,1062,1148,2215,47,45,90,14,14,34,0,0,0,0,0,0,15,13,27,3,3,10,17,15,35,748,672,1425,8,3,11,0,6,13,763,684,1450,211,178,387,2157,2150,4303
POA4173,77,91,170,554,650,1203,0,0,0,65,68,131,9,16,24,996,1148,2145,0,0,0,69,53,124,16,15,26,10,18,25,23,23,47,0,3,3,16,20,36,66,75,143,114,138,252,11,15,27,9,11,14,169,250,418,101,122,225,11,14,24,2246,2626,4872,85,90,171,28,29,53,3,4,7,0,0,0,15,13,28,17,16,29,29,24,56,1220,1057,2273,17,16,33,6,5,16,1240,1081,2320,338,305,637,4044,4248,8290
POA4174,15,19,33,179,189,363,0,0,0,23,27,53,0,0,0,269,310,579,0,3,3,10,10,22,0,3,3,3,0,3,7,16,27,0,0,0,0,0,6,18,8,27,34,22,59,3,3,7,0,0,0,46,60,112,17,22,39,4,0,6,623,685,1312,16,18,36,7,3,5,3,0,3,0,0,0,14,8,28,3,3,8,18,18,36,396,363,755,7,9,9,0,9,9,401,377,772,92,92,186,1167,1213,2385
POA4178,133,186,318,1808,2093,3903,0,0,0,285,327,605,7,6,13,2757,3125,5881,3,10,13,85,102,184,74,90,164,44,37,81,66,79,146,0,0,0,67,69,132,131,153,290,372,397,768,22,32,51,26,31,54,482,708,1191,272,347,619,33,42,78,6537,7650,14178,84,106,194,40,40,77,5,6,14,3,4,7,38,21,64,22,54,79,64,80,141,4233,3782,8012,39,37,79,22,32,55,4296,3846,8148,1069,1066,2142,12228,12982,25208
POA4179,63,118,186,1492,1779,3271,0,0,0,239,261,493,29,36,70,2139,2389,4530,6,15,18,61,70,124,33,43,79,20,18,41,82,79,160,4,3,6,33,42,72,84,114,205,291,331,623,21,24,45,12,21,35,458,623,1083,207,233,439,10,28,39,5232,6099,11328,40,42,80,27,14,40,3,4,10,0,0,0,8,14,23,16,37,60,33,50,81,3131,2800,5933,28,23,50,12,27,41,3175,2852,6026,774,764,1540,9344,9947,19291
POA4183,8,18,26,203,177,378,0,0,0,26,26,46,0,0,0,208,204,410,0,0,0,0,0,4,10,9,16,0,0,0,6,11,15,0,0,0,4,3,5,13,11,22,17,19,38,0,0,3,0,3,3,34,34,71,21,14,40,0,0,3,536,514,1055,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,4,4,8,3,10,15,370,354,719,3,0,3,0,0,3,375,354,730,153,125,276,1079,1023,2102
POA4184,33,66,99,591,639,1230,0,0,0,44,50,100,0,0,0,531,600,1130,3,3,6,22,21,42,9,12,18,3,4,10,30,39,70,0,0,0,21,15,42,30,35,67,130,116,245,18,19,40,13,19,31,123,144,264,106,143,250,12,12,24,1687,1872,3558,3,5,12,3,10,11,9,4,13,3,0,3,0,0,0,19,40,61,25,42,61,1319,1080,2398,15,13,26,20,19,45,1351,1114,2472,355,323,682,3472,3436,6906
