POA_CODE_2016,M_Ireland_0_4,M_Ireland_5_14,M_Ireland_15_24,M_Ireland_25_44,M_Ireland_45_54,M_Ireland_55_64,M_Ireland_65_74,M_Ireland_75_84,M_Ireland_85ov,M_Ireland_Tot,M_Italy_0_4,M_Italy_5_14,M_Italy_15_24,M_Italy_25_44,M_Italy_45_54,M_Italy_55_64,M_Italy_65_74,M_Italy_75_84,M_Italy_85ov,M_Italy_Tot,M_Japan_0_4,M_Japan_5_14,M_Japan_15_24,M_Japan_25_44,M_Japan_45_54,M_Japan_55_64,M_Japan_65_74,M_Japan_75_84,M_Japan_85ov,M_Japan_Tot,M_Korea_South_0_4,M_Korea_South_5_14,M_Korea_South_15_24,M_Korea_South_25_44,M_Korea_South_45_54,M_Korea_South_55_64,M_Korea_South_65_74,M_Korea_South_75_84,M_Korea_South_85ov,M_Korea_South_Tot,M_Lebanon_0_4,M_Lebanon_5_14,M_Lebanon_15_24,M_Lebanon_25_44,M_Lebanon_45_54,M_Lebanon_55_64,M_Lebanon_65_74,M_Lebanon_75_84,M_Lebanon_85ov,M_Lebanon_Tot,M_Malaysia_0_4,M_Malaysia_5_14,M_Malaysia_15_24,M_Malaysia_25_44,M_Malaysia_45_54,M_Malaysia_55_64,M_Malaysia_65_74,M_Malaysia_75_84,M_Malaysia_85ov,M_Malaysia_Tot,M_Malta_0_4,M_Malta_5_14,M_Malta_15_24,M_Malta_25_44,M_Malta_45_54,M_Malta_55_64,M_Malta_65_74,M_Malta_75_84,M_Malta_85ov,M_Malta_Tot,M_Mauritius_0_4,M_Mauritius_5_14,M_Mauritius_15_24,M_Mauritius_25_44,M_Mauritius_45_54,M_Mauritius_55_64,M_Mauritius_65_74,M_Mauritius_75_84,M_Mauritius_85ov,M_Mauritius_Tot,M_Myanmar_0_4,M_Myanmar_5_14,M_Myanmar_15_24,M_Myanmar_25_44,M_Myanmar_45_54,M_Myanmar_55_64,M_Myanmar_65_74,M_Myanmar_75_84,M_Myanmar_85ov,M_Myanmar_Tot,M_Nepal_0_4,M_Nepal_5_14,M_Nepal_15_24,M_Nepal_25_44,M_Nepal_45_54,M_Nepal_55_64,M_Nepal_65_74,M_Nepal_75_84,M_Nepal_85ov,M_Nepal_Tot,M_Netherlands_0_4,M_Netherlands_5_14,M_Netherlands_15_24,M_Netherlands_25_44,M_Netherlands_45_54,M_Netherlands_55_64,M_Netherlands_65_74,M_Netherlands_75_84,M_Netherlands_85ov,M_Netherlands_Tot,M_New_Zealand_0_4,M_New_Zealand_5_14,M_New_Zealand_15_24,M_New_Zealand_25_44,M_New_Zealand_45_54,M_New_Zealand_55_64,M_New_Zealand_65_74,M_New_Zealand_75_84,M_New_Zealand_85ov,M_New_Zealand_Tot,M_Nthern_Ireland_0_4,M_Nthern_Ireland_5_14,M_Nthern_Ireland_15_24,M_Nthern_Ireland_25_44,M_Nthern_Ireland_45_54,M_Nthern_Ireland_55_64,M_Nthern_Ireland_65_74,M_Nthern_Ireland_75_84,M_Nthern_Ireland_85ov,M_Nthern_Ireland_Tot,M_Pakistan_0_4,M_Pakistan_5_14,M_Pakistan_15_24,M_Pakistan_25_44,M_Pakistan_45_54,M_Pakistan_55_64,M_Pakistan_65_74,M_Pakistan_75_84,M_Pakistan_85ov,M_Pakistan_Tot,M_PNG_0_4,M_PNG_5_14,M_PNG_15_24,M_PNG_25_44,M_PNG_45_54,M_PNG_55_64,M_PNG_65_74,M_PNG_75_84,M_PNG_85ov,M_PNG_Tot,M_Philippines_0_4,M_Philippines_5_14,M_Philippines_15_24,M_Philippines_25_44,M_Philippines_45_54,M_Philippines_55_64,M_Philippines_65_74,M_Philippines_75_84,M_Philippines_85ov,M_Philippines_Tot,M_Poland_0_4,M_Poland_5_14,M_Poland_15_24,M_Poland_25_44,M_Poland_45_54,M_Poland_55_64,M_Poland_65_74,M_Poland_75_84,M_Poland_85ov,M_Poland_Tot,M_Scotland_0_4,M_Scotland_5_14,M_Scotland_15_24,M_Scotland_25_44,M_Scotland_45_54,M_Scotland_55_64,M_Scotland_65_74,M_Scotland_75_84,M_Scotland_85ov,M_Scotland_Tot,M_Singapore_0_4,M_Singapore_5_14,M_Singapore_15_24,M_Singapore_25_44,M_Singapore_45_54,M_Singapore_55_64,M_Singapore_65_74,M_Singapore_75_84,M_Singapore_85ov,M_Singapore_Tot,M_South_Africa_0_4,M_South_Africa_5_14,M_South_Africa_15_24,M_South_Africa_25_44,M_South_Africa_45_54,M_South_Africa_55_64,M_South_Africa_65_74,M_South_Africa_75_84,M_South_Africa_85ov,M_South_Africa_Tot
POA4207,0,0,4,15,6,3,10,10,0,50,0,0,0,0,3,5,19,10,4,39,0,0,4,4,3,0,0,0,0,12,0,0,0,6,0,0,0,0,0,13,0,0,0,0,3,0,0,0,0,7,0,0,3,6,8,14,4,0,0,36,0,0,0,0,6,5,8,3,0,22,0,0,0,0,0,3,0,0,0,5,0,0,0,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,3,4,15,19,40,21,3,98,31,223,305,765,379,272,164,51,10,2199,0,0,0,4,3,5,5,3,0,25,5,8,3,3,0,0,0,0,0,18,3,7,4,37,24,14,6,3,0,90,3,23,29,54,20,17,5,0,0,157,0,0,0,16,3,14,8,3,0,45,0,0,7,16,14,26,36,15,6,125,0,0,0,4,3,3,7,0,0,21,0,3,25,53,24,18,14,3,3,143
POA4208,0,3,3,7,3,0,0,3,0,21,0,0,0,0,4,0,3,0,0,4,0,0,0,4,0,0,0,0,0,4,0,0,0,3,3,0,3,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,13,0,0,0,0,0,3,5,3,0,12,0,0,0,0,5,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,0,0,4,0,0,0,0,6,4,12,9,0,31,6,108,123,344,158,87,58,28,0,921,0,0,0,3,0,3,3,0,0,15,0,0,0,0,0,0,0,0,0,3,0,0,0,4,3,5,0,0,0,15,0,0,0,9,5,0,0,0,0,14,0,0,0,3,0,0,3,0,0,11,0,4,3,14,18,17,10,5,0,74,0,0,0,3,3,0,0,0,0,8,0,14,24,59,37,16,4,4,0,159
POA4209,0,7,6,27,6,3,3,0,0,55,0,0,0,8,3,8,13,3,0,40,0,3,8,17,6,3,3,0,0,49,3,19,11,48,15,7,3,0,0,104,0,0,0,4,3,3,0,0,0,12,0,3,4,19,13,3,7,0,0,57,0,0,0,0,0,3,5,0,0,9,0,0,0,3,0,0,3,0,0,15,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,9,0,0,5,4,7,6,20,9,0,51,55,446,508,1303,413,221,118,30,7,3101,0,0,0,9,4,0,3,0,0,23,0,0,4,7,3,0,0,0,0,11,0,0,0,9,13,0,0,0,0,25,0,17,23,51,24,7,4,0,0,122,0,0,0,12,3,5,0,0,0,18,0,9,10,20,34,18,13,8,3,122,0,5,3,13,8,3,0,0,0,29,4,57,68,152,88,34,21,6,0,425
POA4210,0,0,0,7,6,0,0,0,0,16,0,0,0,0,0,4,8,3,0,20,0,3,3,3,4,5,3,0,0,21,0,3,3,9,6,0,0,0,0,28,0,0,0,4,0,0,0,0,0,4,0,0,0,3,4,0,3,0,0,16,0,0,0,0,0,3,0,0,0,7,0,0,0,3,3,0,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,8,5,3,3,32,7,83,105,328,184,115,67,16,7,907,0,0,0,3,4,3,3,0,0,20,0,0,0,3,3,0,0,0,0,5,0,0,0,0,4,5,0,0,0,16,0,3,4,5,4,3,3,3,0,21,0,0,0,10,3,0,3,0,0,16,0,0,3,11,7,14,9,3,0,53,0,3,3,5,7,3,0,0,0,15,0,18,24,54,31,20,7,0,0,162
POA4211,0,0,3,23,4,11,5,3,3,49,0,0,0,6,12,7,26,17,7,72,0,24,12,28,37,14,8,0,3,134,3,15,16,34,34,12,9,3,0,118,0,0,0,8,5,4,3,3,0,19,0,6,6,18,15,10,0,4,0,59,0,0,0,3,3,4,10,4,0,23,0,0,0,5,0,9,3,0,0,18,0,0,0,0,0,0,0,0,0,4,0,5,3,8,0,0,0,0,0,17,0,0,0,6,13,25,40,25,12,117,23,257,334,1014,506,382,245,90,23,2866,0,0,3,3,0,3,7,4,0,25,0,5,3,14,4,0,3,0,0,35,0,0,0,20,19,9,0,0,0,57,4,15,20,55,33,18,3,3,0,152,0,0,0,10,0,14,4,0,0,37,0,3,4,33,45,26,47,19,8,178,0,4,9,15,0,3,3,0,0,36,0,10,44,88,55,27,21,8,3,259
POA4212,0,11,0,9,8,3,0,4,0,39,0,0,0,5,3,4,14,3,0,29,0,0,3,9,11,11,3,0,0,41,0,3,4,17,8,3,0,0,0,38,0,0,0,3,3,0,3,3,0,12,0,3,3,10,6,3,4,0,0,34,0,0,0,0,5,3,5,0,0,16,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,12,7,18,17,3,60,15,83,130,290,221,183,141,56,8,1129,0,3,0,0,5,3,4,0,0,18,0,3,3,4,6,0,0,0,0,16,0,0,0,9,11,8,0,0,0,26,0,7,0,15,3,0,3,0,0,25,0,0,0,0,3,3,3,3,0,13,0,8,5,18,23,27,28,18,3,119,0,0,4,10,0,8,0,0,0,21,3,41,56,82,76,52,27,8,3,343
POA4213,0,6,0,13,3,0,6,3,0,34,0,0,0,0,4,12,13,5,0,31,0,0,8,9,3,9,4,0,0,31,0,4,3,3,0,3,3,0,0,15,0,0,0,0,3,0,0,0,0,4,0,0,0,0,11,6,4,3,0,22,0,0,0,0,0,3,6,4,0,11,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,16,9,3,51,4,70,90,294,203,158,83,30,3,939,0,0,0,5,4,3,3,3,0,16,0,0,0,0,0,0,0,0,0,0,0,3,0,8,10,11,3,0,0,31,0,0,0,8,9,0,7,3,0,31,0,0,0,7,3,6,6,5,0,23,0,0,8,11,26,14,10,11,4,84,0,0,0,0,3,4,7,0,0,14,0,30,41,69,59,43,14,10,0,266
POA4214,0,9,4,14,9,3,10,3,3,48,0,0,5,0,7,15,11,6,8,58,0,17,13,26,24,18,18,3,0,114,0,23,38,67,40,21,0,0,4,197,0,0,0,0,3,0,0,0,0,6,0,3,27,20,19,16,8,0,0,86,0,0,0,0,0,4,3,3,0,17,0,0,0,8,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,8,0,0,0,7,0,11,18,16,5,53,10,125,227,482,303,225,155,53,14,1597,0,0,0,0,0,3,6,7,0,18,0,0,11,12,3,0,0,0,0,31,0,0,3,10,12,8,0,0,0,31,0,10,21,42,14,14,6,0,0,110,0,0,0,4,4,12,6,3,3,30,0,0,9,10,12,22,30,14,3,101,0,0,19,12,6,8,5,0,0,53,0,7,27,47,31,29,22,8,0,174
POA4215,0,8,4,36,10,10,5,11,3,80,0,0,3,24,8,15,27,33,10,114,8,18,30,110,27,12,17,5,0,232,3,20,114,292,45,22,9,10,0,521,0,0,3,3,6,4,3,0,0,19,0,3,9,41,9,9,3,3,0,83,0,0,0,0,0,0,3,6,0,13,0,3,3,10,8,0,3,0,0,21,0,0,3,6,0,0,0,0,0,5,0,3,11,45,0,0,0,0,0,57,0,0,3,7,12,10,26,17,10,78,9,108,203,595,303,268,193,95,27,1807,0,0,3,6,3,4,6,3,0,30,0,0,3,21,3,0,0,0,0,31,0,0,11,11,6,4,3,0,0,34,3,11,32,102,26,9,4,0,0,198,0,0,0,4,9,7,12,9,3,46,0,0,14,11,10,18,29,24,3,111,0,0,7,12,7,12,5,0,0,43,0,3,24,63,30,18,12,6,0,157
POA4216,0,0,0,16,6,7,10,5,3,52,0,0,0,12,5,16,22,16,3,69,3,9,9,23,12,4,4,4,0,67,0,4,3,23,3,5,0,0,0,49,0,0,0,4,0,0,3,0,0,12,0,0,0,6,6,5,6,3,0,26,0,0,0,0,0,3,8,3,5,20,0,0,0,0,0,0,7,0,3,10,0,0,0,0,0,7,0,0,0,3,0,0,0,9,0,0,0,0,0,13,0,0,0,5,3,8,31,15,11,77,11,79,147,383,193,238,225,110,32,1424,0,0,0,3,0,3,4,5,0,23,3,3,6,34,5,3,0,3,0,62,0,0,0,13,7,4,3,3,0,39,3,10,10,45,6,5,3,3,0,83,0,0,0,7,0,9,3,3,0,24,0,3,4,20,23,21,28,21,6,126,0,0,3,6,3,6,4,0,0,20,3,3,25,59,34,38,20,10,0,206
POA4217,0,0,6,38,9,9,5,3,0,76,0,5,16,57,17,20,47,31,3,194,3,7,52,111,19,15,22,0,0,239,0,8,32,84,25,11,4,0,0,160,0,0,0,0,12,4,0,0,0,20,0,7,8,26,16,14,0,0,0,76,0,0,0,0,0,3,4,3,0,6,0,0,0,7,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,54,96,0,0,0,0,0,148,0,0,4,10,10,9,24,13,4,73,10,51,144,420,225,242,202,60,14,1371,0,0,0,15,3,0,0,0,3,25,0,3,5,16,4,0,0,0,0,27,0,0,7,5,8,7,4,0,0,33,3,10,8,44,13,4,3,0,0,94,0,0,0,12,4,8,13,8,4,55,0,0,0,20,14,25,33,9,0,100,0,3,4,13,3,3,0,3,0,34,0,14,20,49,37,29,27,12,3,187
POA4218,0,0,0,15,4,6,15,3,0,46,0,4,8,12,5,13,32,25,22,121,0,13,5,46,11,9,6,3,0,94,0,0,4,5,4,0,3,3,0,27,0,0,0,0,3,0,0,0,3,10,0,0,0,19,14,7,6,3,0,45,0,0,0,0,0,6,7,0,0,18,0,0,0,3,0,0,0,0,0,6,0,0,0,4,0,0,3,0,0,6,0,0,13,21,0,0,0,0,0,31,0,0,0,5,3,7,18,10,3,48,9,45,124,436,176,165,123,48,7,1129,0,0,0,9,3,3,3,0,0,16,0,0,0,3,0,0,0,0,0,3,0,0,0,13,5,6,0,0,0,33,0,4,11,31,12,10,3,0,0,61,0,0,0,4,0,9,4,6,0,31,0,12,6,18,17,5,26,3,3,87,3,0,0,4,0,6,0,3,0,23,0,6,21,57,16,20,10,6,0,138
POA4220,0,10,3,14,3,4,3,8,3,52,0,0,0,9,3,4,10,10,3,40,0,4,6,24,10,4,0,0,0,47,0,0,3,4,4,0,0,0,0,12,0,0,0,0,0,3,0,0,0,3,0,0,0,10,5,3,3,0,0,14,0,0,0,0,0,0,9,10,3,25,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,3,3,11,12,4,39,7,40,78,360,171,165,109,51,13,983,0,0,0,3,3,3,6,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,16,7,3,0,0,0,24,0,0,10,14,0,3,4,4,0,41,0,0,0,5,0,0,3,0,0,17,0,0,0,20,13,15,18,23,9,94,0,0,0,3,3,3,0,0,0,11,0,5,10,56,13,19,9,5,0,116
POA4221,0,0,0,7,0,7,11,0,3,30,0,0,0,6,8,5,9,9,3,43,0,5,4,25,0,4,0,0,0,40,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,4,0,0,0,3,3,7,0,0,0,11,0,0,0,0,0,3,10,3,0,13,0,0,0,0,4,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,19,10,6,43,5,40,60,232,121,104,58,17,14,644,0,3,3,0,3,0,3,4,0,15,0,0,0,0,0,0,0,0,0,0,0,0,3,6,7,4,3,0,0,28,3,0,6,10,0,0,0,0,0,20,0,0,0,7,0,0,0,3,0,6,0,3,4,17,7,17,20,5,0,74,0,0,0,3,0,3,0,0,0,3,0,3,16,46,17,19,10,0,3,114
POA4222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA4223,0,0,0,3,0,3,0,3,0,14,0,0,0,3,4,0,3,0,0,15,0,5,3,3,3,3,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,8,13,3,3,28,0,12,19,80,56,56,29,14,0,273,0,0,0,3,0,0,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,4,0,0,0,15,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,3,0,0,0,4,3,6,8,3,4,31,0,0,0,0,3,0,0,0,0,7,3,0,6,12,14,9,3,0,0,41
POA4224,0,0,0,3,0,0,3,0,4,11,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,12,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,0,8,8,48,27,23,8,3,3,130,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,7,3,4,7,3,0,24,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,3,0,0,3,10
POA4225,0,0,0,5,0,0,4,0,4,14,0,0,0,0,0,0,0,4,0,14,0,0,0,9,4,0,0,0,0,13,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,7,0,8,7,55,30,34,26,14,8,168,0,0,0,0,0,0,8,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,6,10,0,0,0,0,0,14,0,0,0,0,0,0,3,0,0,3,0,0,0,4,0,4,3,3,0,23,0,0,0,0,0,0,0,0,0,4,0,3,0,3,0,5,0,0,0,14
POA4226,0,5,3,16,8,9,7,8,3,66,0,0,3,3,3,22,16,12,9,68,4,32,21,42,30,11,19,4,0,156,0,10,17,23,15,14,4,0,0,88,0,0,0,3,3,3,0,0,0,9,0,8,11,23,5,20,11,4,0,81,0,0,0,0,0,3,16,7,0,23,0,0,0,3,3,0,5,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,11,0,3,0,4,7,12,23,14,3,74,5,97,152,385,206,165,151,55,13,1231,0,0,0,3,0,3,3,3,0,11,0,0,0,12,0,0,0,0,0,13,0,0,4,8,4,6,0,0,0,23,3,5,19,26,19,8,9,3,0,87,0,4,0,3,3,3,11,3,8,34,0,8,7,18,17,18,22,14,5,109,0,0,4,12,6,6,0,0,0,34,4,15,53,92,41,45,25,13,0,291
POA4227,0,0,3,9,10,0,7,0,0,31,0,0,0,8,3,4,5,4,0,29,0,12,14,23,14,0,0,0,0,66,0,21,14,30,15,0,0,0,0,79,0,0,0,4,0,0,3,0,0,14,0,6,20,18,10,11,0,0,0,62,0,0,0,0,0,0,3,6,0,15,0,0,0,5,4,0,0,3,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,3,3,5,3,11,7,0,31,4,56,114,228,132,82,52,17,3,699,0,0,3,4,0,0,0,0,0,6,0,0,0,7,0,0,0,0,0,6,0,3,5,8,7,0,0,0,0,24,0,3,11,22,16,7,3,3,0,64,0,0,0,5,3,3,9,0,0,20,0,4,4,16,9,9,10,3,0,52,0,0,3,3,0,0,0,0,0,13,0,26,37,69,43,17,10,5,0,207
POA4228,0,0,0,3,0,5,0,0,0,13,0,0,0,0,0,0,0,3,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,8,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,4,0,11,0,0,3,31,29,31,13,3,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,5,3,0,0,20,0,3,0,0,0,0,0,0,0,3,0,3,7,5,3,0,4,0,0,25
POA4229,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,7
POA4230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,9,0,0,0,0,0,15,0,0,0,7,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,4,0,6,17,34,14,13,8,3,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,4,4,3,7,0,0,0,18
POA4270,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,3,30,26,24,3,5,0,90,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,3,0,0,0,9
POA4271,0,0,0,0,0,3,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,8,0,0,19,0,8,4,23,15,22,18,3,0,90,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,0,0,6,3,0,3,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,13
POA4272,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,8,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,11,3,0,26,0,8,6,29,31,18,13,6,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,3,4,3,0,14,0,0,0,0,0,0,3,0,0,0,0,3,0,3,3,3,3,0,0,19
POA4275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,12,0,0,4,22,26,23,18,7,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,3,3,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9
POA4280,0,0,0,4,3,3,3,0,0,20,0,0,0,0,3,0,3,0,0,6,0,0,8,0,0,0,0,0,0,11,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,3,0,0,0,11,0,0,0,0,0,3,3,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,4,14,9,0,0,40,0,18,51,132,111,87,40,11,0,440,0,0,0,0,4,0,0,3,0,6,0,0,0,3,0,0,0,0,0,3,0,6,0,5,4,0,4,0,0,19,0,4,3,6,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,3,0,0,4,6,11,5,10,0,0,37,0,0,3,0,0,0,0,0,0,6,0,0,6,19,10,4,3,0,0,37
